UnitsID,UnitsName,UnitsType,UnitsAbbreviation
272,per meter                                                                                                                                                                                                                                                      ,Light Extinction                                                                                                                                                                                                                                               ,1/m                                                                                                                                                                                                                                                            
273,normal                                                                                                                                                                                                                                                         ,Normality                                                                                                                                                                                                                                                      ,N                                                                                                                                                                                                                                                              
274,nanomoles per kilogram                                                                                                                                                                                                                                         ,Concentration                                                                                                                                                                                                                                                  ,nmol/kg                                                                                                                                                                                                                                                        
275,millimoles per kilogram                                                                                                                                                                                                                                        ,Concentration                                                                                                                                                                                                                                                  ,mmol/kg                                                                                                                                                                                                                                                        
276,millimoles per square meter per hour                                                                                                                                                                                                                           ,Areal Flux                                                                                                                                                                                                                                                     ,mmol/m^2 hr                                                                                                                                                                                                                                                    
277,milligrams per cubic meter per hour                                                                                                                                                                                                                            ,Productivity                                                                                                                                                                                                                                                   ,mg/m^3 hr                                                                                                                                                                                                                                                      
278,milligrams per day                                                                                                                                                                                                                                             ,Loading                                                                                                                                                                                                                                                        ,mg/d                                                                                                                                                                                                                                                           
279,liters per minute                                                                                                                                                                                                                                              ,Flow                                                                                                                                                                                                                                                           ,L/min                                                                                                                                                                                                                                                          
280,liters per day                                                                                                                                                                                                                                                 ,Flow                                                                                                                                                                                                                                                           ,L/d                                                                                                                                                                                                                                                            
281,jackson candle units                                                                                                                                                                                                                                           ,Turbidity                                                                                                                                                                                                                                                      ,JCU                                                                                                                                                                                                                                                            
282,grains per gallon                                                                                                                                                                                                                                              ,Concentration                                                                                                                                                                                                                                                  ,gpg                                                                                                                                                                                                                                                            
283,gallons per second                                                                                                                                                                                                                                             ,Flow                                                                                                                                                                                                                                                           ,gps                                                                                                                                                                                                                                                            
284,gallons per hour                                                                                                                                                                                                                                               ,Flow                                                                                                                                                                                                                                                           ,gph                                                                                                                                                                                                                                                            
285,foot candle                                                                                                                                                                                                                                                    ,Illuminance                                                                                                                                                                                                                                                    ,ftc                                                                                                                                                                                                                                                            
286,fibers per liter                                                                                                                                                                                                                                               ,Concentration                                                                                                                                                                                                                                                  ,fibers/L                                                                                                                                                                                                                                                       
287,drips per minute                                                                                                                                                                                                                                               ,Flow                                                                                                                                                                                                                                                           ,drips/min                                                                                                                                                                                                                                                      
288,cubic centimeters per second                                                                                                                                                                                                                                   ,Flow                                                                                                                                                                                                                                                           ,cm^3/sec                                                                                                                                                                                                                                                       
289,colony forming units                                                                                                                                                                                                                                           ,Organism Concentration                                                                                                                                                                                                                                         ,CFU                                                                                                                                                                                                                                                            
290,colony forming units per 100 milliliter                                                                                                                                                                                                                        ,Organism Concentration                                                                                                                                                                                                                                         ,CFU/100 ml                                                                                                                                                                                                                                                     
291,cubic feet per minute                                                                                                                                                                                                                                          ,Flow                                                                                                                                                                                                                                                           ,cfm                                                                                                                                                                                                                                                            
292,ADMI color unit                                                                                                                                                                                                                                                ,Color                                                                                                                                                                                                                                                          ,ADMI                                                                                                                                                                                                                                                           
293,percent by volume                                                                                                                                                                                                                                              ,Concentration                                                                                                                                                                                                                                                  ,% by vol                                                                                                                                                                                                                                                       
294,number of organisms per 500 milliliter                                                                                                                                                                                                                         ,Organism Concentration                                                                                                                                                                                                                                         ,#/500 ml                                                                                                                                                                                                                                                       
295,number of organisms per 100 gallon                                                                                                                                                                                                                             ,Organism Concentration                                                                                                                                                                                                                                         ,#/100 gal                                                                                                                                                                                                                                                      
296,grams per cubic meter per hour                                                                                                                                                                                                                                 ,Productivity                                                                                                                                                                                                                                                   ,g/m^3 hr                                                                                                                                                                                                                                                       
297,grams per minute                                                                                                                                                                                                                                               ,Loading                                                                                                                                                                                                                                                        ,g/min                                                                                                                                                                                                                                                          
298,grams per second                                                                                                                                                                                                                                               ,Loading                                                                                                                                                                                                                                                        ,g/s                                                                                                                                                                                                                                                            
299,million cubic feet                                                                                                                                                                                                                                             ,Volume                                                                                                                                                                                                                                                         ,10^6 ft^3                                                                                                                                                                                                                                                      
300,month year                                                                                                                                                                                                                                                     ,Time                                                                                                                                                                                                                                                           ,mmyy                                                                                                                                                                                                                                                           
301,bar                                                                                                                                                                                                                                                            ,Pressure                                                                                                                                                                                                                                                       ,bar                                                                                                                                                                                                                                                            
302,decisiemens per centimeter                                                                                                                                                                                                                                     ,Electrical Conductivity                                                                                                                                                                                                                                        ,dS/cm                                                                                                                                                                                                                                                          
303,micromoles per liter                                                                                                                                                                                                                                           ,Concentration                                                                                                                                                                                                                                                  ,umol/L                                                                                                                                                                                                                                                         
304,Joules per square centimeter                                                                                                                                                                                                                                   ,Energy per Area                                                                                                                                                                                                                                                ,J/cm^2                                                                                                                                                                                                                                                         
305,millimeters per day                                                                                                                                                                                                                                            ,velocity                                                                                                                                                                                                                                                       ,mm/day                                                                                                                                                                                                                                                         
306,parts per thousand                                                                                                                                                                                                                                             ,Concentration                                                                                                                                                                                                                                                  ,ppth                                                                                                                                                                                                                                                           
307,megaliter                                                                                                                                                                                                                                                      ,Volume                                                                                                                                                                                                                                                         ,ML                                                                                                                                                                                                                                                             
308,Percent Saturation                                                                                                                                                                                                                                             ,Concentration                                                                                                                                                                                                                                                  ,% Sat                                                                                                                                                                                                                                                          
309,pH Unit                                                                                                                                                                                                                                                        ,Dimensionless                                                                                                                                                                                                                                                  ,pH                                                                                                                                                                                                                                                             
310,millimeters per second                                                                                                                                                                                                                                         ,Velocity                                                                                                                                                                                                                                                       ,mm/s                                                                                                                                                                                                                                                           
311,liters per hour                                                                                                                                                                                                                                                ,Flow                                                                                                                                                                                                                                                           ,L/hr                                                                                                                                                                                                                                                           
312,cubic hecto meter                                                                                                                                                                                                                                              ,Volume                                                                                                                                                                                                                                                         ,(hm)^3                                                                                                                                                                                                                                                         
313,mols per cubic meter                                                                                                                                                                                                                                           ,Concentration or organism concentration                                                                                                                                                                                                                        ,mol/m^3                                                                                                                                                                                                                                                        
314,kilo grams per month                                                                                                                                                                                                                                           ,Loading                                                                                                                                                                                                                                                        ,kg/month                                                                                                                                                                                                                                                       
315,Hecto Pascal                                                                                                                                                                                                                                                   ,Pressure/Stress                                                                                                                                                                                                                                                ,hPa                                                                                                                                                                                                                                                            
316,kilo grams per cubic meter                                                                                                                                                                                                                                     ,Concentration                                                                                                                                                                                                                                                  ,kg/m^3                                                                                                                                                                                                                                                         
317,short tons per month                                                                                                                                                                                                                                           ,Loading                                                                                                                                                                                                                                                        ,ton/month                                                                                                                                                                                                                                                      
318,micromoles per square meter per second                                                                                                                                                                                                                         ,Areal Flux                                                                                                                                                                                                                                                     ,umol/m^2 s                                                                                                                                                                                                                                                     
319,grams per square meter per hour                                                                                                                                                                                                                                ,Areal Flux                                                                                                                                                                                                                                                     ,g/m^2 hr                                                                                                                                                                                                                                                       
320,milligrams per cubic meter                                                                                                                                                                                                                                     ,Concentration                                                                                                                                                                                                                                                  ,mg/m^3                                                                                                                                                                                                                                                         
321,meters squared per second squared                                                                                                                                                                                                                              ,Velocity                                                                                                                                                                                                                                                       ,m^2/s^2                                                                                                                                                                                                                                                        
322,squared degree Celsius                                                                                                                                                                                                                                         ,Temperature                                                                                                                                                                                                                                                    ,(DegC)^2                                                                                                                                                                                                                                                       
323,milligrams per cubic meter squared                                                                                                                                                                                                                             ,Concentration                                                                                                                                                                                                                                                  ,(mg/m^3)^2                                                                                                                                                                                                                                                     
324,meters per second degree Celsius                                                                                                                                                                                                                               ,Temperature                                                                                                                                                                                                                                                    ,m/s DegC                                                                                                                                                                                                                                                       
325,millimoles per square meter per second                                                                                                                                                                                                                         ,Areal Flux                                                                                                                                                                                                                                                     ,mmol/m^2 s                                                                                                                                                                                                                                                     
326,degree Celsius millimoles per cubic meter                                                                                                                                                                                                                      ,Concentration                                                                                                                                                                                                                                                  ,DegC mmol/m^3                                                                                                                                                                                                                                                  
327,millimoles per cubic meter                                                                                                                                                                                                                                     ,Concentration                                                                                                                                                                                                                                                  ,mmol/m^3                                                                                                                                                                                                                                                       
328,millimoles per cubic meter squared                                                                                                                                                                                                                             ,Concentration                                                                                                                                                                                                                                                  ,(mmol/m^3)^2                                                                                                                                                                                                                                                   
329,Langleys per hour                                                                                                                                                                                                                                              ,Energy Flux                                                                                                                                                                                                                                                    ,Ly/hr                                                                                                                                                                                                                                                          
330,hits per square centimeter                                                                                                                                                                                                                                     ,Precipitation                                                                                                                                                                                                                                                  ,hits/cm^2                                                                                                                                                                                                                                                      
